name,latitude,longitude
Vulcan,46.15,23.88333
Vulcan,46.23979,22.9718
Vulcan,46.14843,24.85369
Vulcan,45.63333,25.41667
Vulcan,45.38333,23.26667
Vucsor,44.7,21.85
Vucova,45.62053,21.51182
Vrâncioaia Negrileşti,45.93333,26.7
Vrâncioaia,45.85,26.73333
Vrânceni,46.21298,26.90915
Vrelea,45.46667,24.31667
Vrata,44.19197,22.84928
Vrăniuț,45.00134,21.54995
Vrănești,44.84595,25.00716
Vrancea,44.54531,22.59942
Vrăbiori-Ştiubei,44.78333,24.13333
Vrăbieri,44.78333,24.13333
Vrabia,46.22303,25.90505
Vovriești,46.86999,27.20793
Voșlăbeni,46.65,25.63333
Vorţa,46.01667,22.68333
Vorovești,47.13984,27.46426
Voroveni,45.02625,25.06452
Vorotele,45.08333,24.31667
Voroneţ,47.52489,25.86422
Vorona Teodoru,47.55,26.6
Vorona Mare,47.55613,26.61586
Vorona-Dobrovolschi,47.56667,26.63333
Vorona Deal,47.6,26.6
Vorona,47.59668,26.64482
Vonigeasa,44.98231,24.54222
Vornicenii Mici,47.56517,26.16215
Vorniceni,47.98333,26.66667
Vornicenii Mari,47.56667,26.13333
Voluntari,44.49002,26.17338
Volovăţ,47.81667,25.9
Voloşcani Mici,45.91667,26.91667
Voloşcani Mari,45.91667,26.91667
Voloșcani,45.92489,26.92291
Voloicel,44.62328,23.06434
Voloiac,44.61667,23.1
Volintireşti,47.16918,26.82861
Volintireşti,47.13333,26.85
Voivozi,47.46957,22.04033
Voivozi,47.21562,22.39024
Voivodenii Mici,45.76667,24.85
Voivodenii Mari,45.77866,24.85725
Fântânele,47.06667,23.41667
Voivodeni,47.0544,23.42815
Voivodeni,46.7,24.63333
Voivodeni,46.3989,22.03427
Voivodeni,45.77991,24.86146
Voievodeasa,47.79953,25.74939
Voitinel,47.88366,25.75735
Voiteștii din Vale,45.08746,23.42145
Voiteștii din Deal,45.10181,23.44714
Voiteg,45.46889,21.23917
Voita,44.36447,23.38169
Voislova,45.52752,22.45967
Voinigești,45.00725,23.24713
Voiniceni,46.61502,24.52526
Voineşti,47.06667,27.41667
Voinești,46.81977,27.51138
Voineşti,46.56667,27.41667
Voinești,45.40764,27.72094
Voinești,45.30007,25.07225
Voineşti,45.06667,25.25
Voineşti,44.98333,26.6
Voineșița,45.41528,23.96685
Voineasa Mică,44.26667,24.16667
Voineasa,45.41667,23.95
Voineasa,44.28333,24.13333
Voila,45.81839,24.84215
Voetin,45.4437,27.14587
Voiculeasa,44.8092,24.10303
Voicu,44.86667,23.5
Voiceștii din Vale,44.60954,24.30931
Voiceşti,44.6,24.28333
Voicani,44.93333,24.0
Voica,46.56667,23.33333
Voia,46.03688,23.04634
Voia,44.74268,25.20375
Voievoda,43.84126,25.13777
Vodnic,45.24664,21.79764
Vocotești,47.08241,27.46898
Vlângăreşti,44.71667,24.35
Vlăsineşti,47.93333,26.88333
Vlăsia,44.66667,26.2
Vlășcuța,44.54463,24.79631
Vlăsceni,44.58522,25.59931
Vlăsceni,44.5,25.76667
Vlașca,44.39664,27.84865
Vlaşca,46.18333,26.73333
Vlaşca,44.3,24.03333
Vlăjeni,47.35,25.3
Vlăiculești,44.5858,26.66675
Vlaicii de Sus,44.68333,24.65
Vlaici,44.65159,24.65884
Vlăhiţa Nouă,46.35,25.51667
Vlăhiţa,46.35,25.51667
Vlahii,44.2031,27.86703
Vlaha,46.69656,23.45532
Vlăduţeşti,45.05,23.85
Vlăduța,44.62552,24.89592
Vlădulești,44.91566,24.31964
Vlăduleni,44.88857,23.23727
Vlăduleni,44.25714,24.32696
Vlăduleasa,45.63333,27.31667
Vlăduceni,45.13693,24.25051
Vlad Ţepeş,44.35,27.08333
Vlad Țepeș,44.13282,26.13355
Vladomira,47.4194,27.56903
Vlădoi,44.96667,23.05
Vlădoi,45.18333,23.7
Vlădnicuț,47.36335,26.79878
Vladnicu de Sus,46.11466,27.35555
Vladnicu de Jos,46.09687,27.36329
Vlădnicele,46.99806,27.16202
Vladnic,46.44542,27.13816
Vladimir,44.83333,23.56667
Vladimirescu,46.16628,21.40102
Vladimir,44.50232,23.76364
Vlădila Nouă,44.00368,24.40883
Vlădila,44.0,24.4
Vlădiceni,47.13368,27.65553
Vlădiceni,46.93355,26.67962
Vlădiceasca,44.66947,26.09102
Vlădiceasca,44.34813,26.79819
Vlădica,44.50845,23.07272
Vladia,46.63669,27.31401
Vlădeştii de Sus,45.16667,24.91667
Vlădești,45.15,24.91667
Vlădești,46.45334,27.70932
Vlădoșești,46.34581,23.03089
Vlădești,46.30899,23.56063
Vlădeşti,45.85,28.08333
Vlădești,45.1569,24.52982
Vlădeşti,45.11667,24.3
Vlădeni-Mărgineni,44.88333,25.76667
Vlădeni-Fărcăşani,44.86667,25.78333
Vlădeni-Deal,47.5225,26.87295
Vlădeni,45.13333,24.98333
Vlădeni,47.98333,26.16667
Vlădeni,47.92737,26.61062
Vlădeni,47.71667,26.51667
Vlădeni,47.41667,27.33333
Vlădeni,45.76685,25.37242
Vlădeni,45.28224,26.76031
Vlădeni,44.8755,25.77318
Vlădeni,44.61667,27.88333
Vlădășești,44.64992,23.13285
Vlădari,45.18333,26.1
Vlădaia,44.35,23.03333
Vizurești,45.95985,27.33267
Vizurești,44.6404,25.8074
Vizureni,46.08277,27.5941
Vizma,45.92583,21.83542
Viziru,45.01667,27.7
Vizireni,45.04965,27.19693
Vizejdia,45.94233,20.656
Vizantea Răzășească,45.96997,26.81405
Vizantea-Mânăstirească,45.98333,26.78333
Vitomireşti,44.86667,24.4
Vitioara de Sus,45.17958,26.06556
Viţicheşti,44.83333,25.06667
Vitcari,46.36667,22.91667
Vițcani,47.94423,26.21061
Viţău,47.86667,25.61667
Vităneștii de Sub Măgură,45.87414,27.02679
Vitănești,45.88377,27.03897
Vitănești,44.5273,24.69585
Vităneşti,44.0,25.41667
Vița,47.04181,24.15022
Visuia,46.83703,24.29503
Viștișoara,45.6929,24.76291
Vistieru,45.22304,25.70179
Visterna,44.85971,28.77134
Viștea de Sus,45.74554,24.74167
Viștea de Jos,45.79582,24.7238
Viștea,46.8026,23.40218
Vispești,45.09749,26.52222
Vişoi,45.26667,25.05
Vişoi,44.95,23.03333
Vișinii,44.29684,27.1863
Vişineşti,45.1,25.55
Vișinelu,46.73798,24.10194
Vișinari,46.46577,27.703
Vișina Nouă,43.87434,24.4182
Vișina,44.75798,28.84262
Vişina,44.58333,25.33333
Vișina,44.57307,23.12806
Vişina,43.86667,24.45
Vişeu de Sus,47.71667,24.43333
Vișeu de Mijloc,47.71562,24.40661
Vişeu de Jos,47.72558,24.36613
Vișea,46.85641,23.87361
Viscri,46.05522,25.09389
Visca,46.06931,22.6683
Vişani,45.15,27.28333
Vișan,47.11231,27.60808
Vișagu,46.83098,22.83069
Vișag,45.54977,21.81221
Visafolio,46.70479,25.63226
Vârvoru de Jos,44.24415,23.6079
Vârvor,44.22527,23.62387
Virtutea Militară,44.93333,26.01667
Vârț,44.95,23.13333
Vârtopu,44.91349,22.98279
Vârtop,44.20682,23.34869
Vârtop,46.32413,23.09225
Vârtop,43.81872,28.38473
Vârtopu,43.81667,24.4
Vârtoasa,45.11667,24.11667
Vârtoapele de Sus,44.19182,25.20025
Vârtoapele de Jos,44.18333,25.2
Vârtoape,45.76667,23.63333
Vârtina,44.36667,24.06667
Vârteşcoiu,45.73333,27.08333
Vârteşca,47.18333,23.5
Vârteju,45.46071,26.57175
Vârteju,44.35606,25.99183
Vârtej,45.7,26.1
Vârtăneşti,46.36667,22.96667
Vârşolţ,47.2,22.93333
Vârșii Mari,46.34435,23.13134
Vârșii Mici,46.34788,23.11512
Vârși,46.35485,23.07346
Vârși-Rontu,46.33333,23.11667
Vârșești,44.77761,24.6123
Viroaga,43.87166,28.08855
Vârloveni,45.03119,24.59659
Vârlezi,45.9,27.85
Vârleni,44.79276,24.02717
Vârlăneşti,46.46667,27.16667
La Verut,44.88333,21.71667
Virismort,45.96772,22.14557
Vârgolici,48.01667,26.56667
Vârghiş,46.13333,25.53333
Vârfurile,46.31667,22.51667
Vârfurile,44.99265,26.15206
Vârfuri,45.1,25.51667
Vârfureni,45.17902,25.25805
Vârfu Plaiului,47.56667,25.35
Vârfu Dealului,47.6,25.93333
Vârfu Câmpului,47.84566,26.33056
Vârfu,45.4,26.55
Vârf,45.11667,26.5
Vârciorova,45.3271,22.35208
Vârciorova,44.71667,22.48333
Vârciorog,46.96667,22.3
Vipereşti,45.23333,26.46667
Viorica,43.93333,24.91667
Vântuleşti,45.95,23.25
Vintileşti,45.06667,27.56667
Vintileasca,45.6,26.73333
Vintileanca,44.985,26.58005
Vintilă Vodă,45.46667,26.71667
Vintere,46.76883,22.14652
Vința,46.31639,23.22592
Vânju-Mare,44.42528,22.86972
Vânjuleţ,44.44111,22.7925
Vingard,46.01317,23.74696
Vinga,46.01667,21.2
Vinețișu,45.46921,26.33551
Vineți,44.68681,24.56956
Vinețești,46.62965,27.90064
Vineşti,46.01667,22.21667
Vâneşti,44.63333,24.36667
Vinerea,45.88632,23.35289
Vinderei,46.15,27.8
Vânători-Neamţ,47.2,26.31667
Vânătorii Mici,44.49028,25.55889
Vânătorii Mari,44.48898,25.54548
Vânători,46.9,26.4
Vânători,47.75151,26.86986
Vânători,47.3598,26.76423
Vânători,47.23333,27.53333
Vânători,46.9538,22.86396
Vânători,46.62456,21.67332
Vânători,46.23333,24.93333
Vânători,45.73333,27.25
Vânători,45.53333,28.01667
Vânători,44.5909,26.29595
Vânători,44.24278,22.92889
Vânători,43.87769,28.52288
Vânători,43.75248,25.15401
Vânătoreşti,47.8,22.98333
Vânăta,45.05,22.98333
Vima Mică,47.4,23.71667
Vima Mare,47.3817,23.70853
Viluari,45.78333,22.58333
Viltotești,46.37951,27.87716
Vâltori,46.14472,23.21597
Vâlsăneşti,45.18333,24.8
Vâlcica,47.33265,26.63515
Vâlceşti,46.36667,22.91667
Vâlceluţa,45.65,23.01667
Vâlcelele de Sus,44.28461,24.55821
Vâlcelele Bune,45.65799,23.05328
Vâlcelele,45.2,24.23333
Vâlcelele,47.84507,26.45554
Vâlcelele,47.65024,26.10074
Vâlcelele,47.43506,27.36623
Vâlcelele,47.23028,22.48336
Vâlcelele,47.10673,23.59602
Vâlcelele,46.16177,27.33623
Vâlcelele,45.3443,27.34937
Vâlcelele,45.00365,24.70456
Vâlcelele,44.93924,26.38116
Vâlcelele,44.46694,25.57111
Vâlcelele,44.38834,27.15022
Vâlcele,46.29801,26.60005
Vâlcele,46.68638,23.65342
Vâlcele,46.30718,27.12998
Vâlcele,45.85,25.68333
Vâlcele,45.70131,27.14789
Vâlcele,45.67073,23.05364
Vâlcele,45.08692,26.63353
Vâlcele,45.08886,22.98475
Vâlcele,44.28263,24.54376
Vâlcelele,43.78407,28.34265
Vâlceaua,44.96166,23.018
Vâlcea,46.26622,23.16365
Vâlcea,45.75424,25.17908
Vâlcani,45.76667,26.78333
Vâlcăneşti,45.11667,25.93333
Vâlcăneasa,46.36615,22.93817
Văleanca-Vilănești,45.09247,26.50457
Vijuleşti,44.11667,24.18333
Vijoeşti,44.75,23.91667
Vâjâetoarea,45.48333,27.3
Viişoara Moşneni,44.22921,24.13937
Viișoara Mică,48.15371,26.78642
Viișoara,44.23179,24.1119
Viișoara,47.10332,24.44949
Viişoara,46.8,27.86667
Viișoara,46.64254,27.78596
Viişoara,45.23333,26.85
Viişoara,48.16667,26.73333
Viișoara,47.69574,22.29208
Viişoara,47.38333,26.46667
Viişoara,47.38333,22.45
Viişoara,46.93333,26.23333
Viișoara,46.83145,27.362
Viişoara,46.55,23.91667
Viişoara,46.38333,27.88333
Viișoara,46.28325,26.66187
Viişoara,46.28333,24.6
Viișoara,46.23118,26.88458
Viișoara,46.0516,27.09593
Viișoara,45.92085,26.82354
Viișoara,44.99587,24.16287
Viișoara,44.88116,25.4273
Viișoara,44.85459,24.95956
Viişoara,44.23333,24.46667
Viișoara,44.07758,28.19424
Viişoara,43.78333,25.16667
Viilor,46.23756,24.80933
Viile Satu Mare,47.66667,22.95
Viile Noi,44.15,28.6
Viile Jacului,47.1638,23.15695
Viile Iojibului,47.81667,23.15
Viile Dejului,47.16667,23.83333
Viile Apei,47.78109,23.29103
Viile,45.80691,27.94748
Viile,44.162,27.75769
Viile,44.16185,24.93354
Vâgani,46.94855,25.29167
Viforoasa,46.43189,24.80982
Viforâta,45.33366,26.61768
Viforâta,44.96011,25.45796
Viforeni,47.77027,26.94055
Viforeni,46.58122,27.09722
Viezuri,45.16667,24.25
Viezuri,45.05,23.38333
Viezuianu,45.2,24.23333
Viespeşti,44.05,24.65
Vieru,43.88787,25.80974
Vierșani,44.87875,23.5312
Vieraşi,43.91667,24.98333
Vidrișoara,46.34306,22.827
Vidrasău,46.47553,24.4154
Vidra,46.36758,22.88811
Vidra,46.32875,22.51221
Vidra,45.91667,26.9
Vidra,44.26056,26.16972
Vidolm,46.48104,23.51515
Vidin,44.92614,23.51318
Vidimirești,44.85967,22.82538
Videle,44.27806,25.52444
Vidacut,46.33721,24.89612
Victor Vlad Delamarina,45.64056,21.89278
Victoria Mărăşeşti,44.73333,27.41667
Victoria,47.72589,26.80148
Victoria,47.61018,27.1673
Victoria,47.28333,27.58333
Victoria,45.72968,24.7028
Victoria,45.12861,28.9673
Victoria,44.81667,27.61667
Vicșani,47.9376,25.98157
Vicovu de Sus,47.93333,25.68333
Vicovu de Jos,47.9,25.73333
Vicolenii Noi,47.88333,26.78333
Vicolenii Mici,47.88333,26.81667
Vicolenii Mari,47.88333,26.85
Vicoleni,47.87958,26.84826
Vicea,47.45095,23.24101
Vica,45.99516,22.57725
Viașu,44.35417,22.82566
Viacu Mic,45.03333,23.41667
Viacu Mare,45.03333,23.41667
Viezuri,46.0,23.3
Vezendiu,47.574,22.43254
Veza,46.16747,23.9247
Vetrești-Herăstrău,45.8094,26.6623
Vetreşti,45.8,26.65
Vețișoara,44.76313,24.66128
Vetiş,47.8,22.76667
Veteranu,44.15506,28.13162
Vețelu,44.97256,23.98071
Veţel,45.9,22.81667
Veţca,46.35,24.78333
Veța,46.56007,24.72308
Veștem,45.71752,24.23958
Veseuș,46.27456,24.14276
Veseud,45.93333,24.65
Veseud,45.97664,24.19365
Verveghiu,47.31356,23.11027
Verşeşti de Sus,46.43333,26.76667
Verşeşti de Jos,46.45,26.7
Verșești,46.97973,26.48309
Verșești,46.44904,26.70183
Verșeni,47.11294,26.64341
Verneşti,45.21667,26.73333
Vernești,45.20005,24.60678
Vermeș,47.0,24.31667
Vermești,46.42172,26.4766
Vermeş,45.52056,21.65972
Verguleasa,44.65,24.31667
Vereşti,45.11667,24.16667
Vereşti,47.6,26.43333
Vereş,46.46667,26.48333
Vereş,45.23333,26.26667
Verendin,45.07755,22.23917
Verdişoaia,46.86667,27.75
Verdești,46.38226,22.79144
Verdeș,46.55121,27.61581
Verdea,46.01211,26.89382
Verdea,44.6914,24.22793
Vercicani,47.52689,26.57341
Verbiţa,44.3,23.16667
Verbicioara,44.28383,23.18767
Verbia,47.88601,26.15909
Veneţia de Sus,45.85,25.23333
Veneția de Jos,45.87536,25.21294
Veneţia,46.06667,26.26667
Venchi,46.24411,24.74162
Velț,46.23927,24.28108
Velniţa,46.78333,27.7
Velesti,44.60045,23.78919
Velenţa,47.04849,21.94948
Veleni,44.38234,23.30599
Velea,44.28333,25.81667
Vela,44.28333,23.41667
Veja,47.01657,27.15651
Veghiurile,45.45,26.58333
Vedea,44.78333,24.61667
Vedea,44.08333,25.06667
Vedea,43.78333,25.78333
Vechea,46.89039,23.49233
Vecerd,45.98401,24.45549
Văvălucile,45.39456,26.46391
Vatra Veche,45.26667,27.96667
Vatra Târgului,47.2,26.36667
Vatra Satului,45.03333,22.41667
Vatra Moldoviţei,47.65,25.56667
Cotroceni,44.41667,26.06667
Vatra Dornei,47.35,25.36667
Vatra,47.23333,26.73333
Vatra,48.14721,26.53691
Vătişoara,46.16667,22.56667
Vătava,46.96667,24.76667
Vătași,44.44299,25.35693
Vătaşi,44.31667,24.73333
Vătășești,45.11753,24.46063
Vătăşelu,44.36667,23.93333
Vața de Sus,46.1712,22.5706
Vaţa de Jos,46.18333,22.6
Vața,44.75917,24.67118
Văsui,45.86667,26.71667
Vaslui,46.63333,27.73333
Văsoaia,46.25372,22.06364
Vasile Roaită,46.56667,26.91667
Umbrărești-Deal,45.7,27.46667
Vasileni,46.22894,25.27228
Vasile Alecsandri,45.45288,27.80079
Vasile Alecsandri,44.79555,28.50685
Vasilatu,45.33333,24.25
Vasilaţi,44.68333,23.91667
Vasilaţi,44.28778,26.4475
Vasilăcheşti,45.91667,27.3
Vasilache,47.8,26.13333
Văsâieşti,46.43333,26.45
Văsești,46.37878,22.90383
Vășcăuți,47.96763,26.02327
Vaşcău,46.46667,22.46667
Vascani,47.27254,26.87496
Vasca,46.43333,25.18333
Vășad,47.5186,22.2566
Vărzaru,44.93795,24.7767
Vărzăroaia,45.15,24.83333
Vărzarii de Sus,46.47425,22.51656
Vărzarii de Jos,46.48971,22.50047
Vărzari,47.20206,22.4633
Varviz,47.22488,22.43855
Varvata,47.61249,26.00015
Vărtăneşti,46.38333,22.95
Vărsături,45.03333,23.33333
Vărsătura,45.78874,27.0445
Vărsătura,45.22557,27.93236
Vărşandu Vechi,46.61667,21.35
Vărşandu Nou,46.61667,21.35
Vărșand,46.6182,21.34455
Vărşag,46.51667,25.35
Vargatac,46.75474,25.63223
Varodia,44.52872,23.10572
Varnița,46.02291,21.80835
Varnița,45.97126,26.96357
Varnița,44.80679,25.9453
Vărmaga,45.94243,23.01307
Varlaam,45.50925,26.44462
Varlaam,44.2447,26.09098
Variașu Mic,46.29334,21.18277
Variașu Mare,46.27598,21.17281
Variaş,46.01667,20.95
Vărgata,46.56667,24.8
Vărd,45.94603,24.6023
Vărbilău,45.18333,25.95
Vărbilău,44.55,26.43333
Vărbila,45.04654,26.19691
Văratici,46.28333,26.65
Văratici,44.9,24.7
Văratici,45.1569,24.06311
Văratica,45.33651,24.28143
Văratic,46.56667,23.35
Văratic,46.38333,27.43333
Văratecu,44.96667,24.95
Văratecu,45.15,24.43333
Văratec,45.66667,22.86667
Văratec,47.63988,26.40312
Varatec,47.14356,26.27652
Vărăştii de Sus,44.6,26.21667
Vărăştii de Jos,44.6,26.21667
Vărăşti,44.61667,26.2
Vărăşti,44.23778,26.24861
Vărăști,44.21244,26.97188
Vărășeni,46.76781,22.21318
Varasău,47.16256,22.26813
Vărărie,47.48333,26.36667
Vărai,47.38618,23.45108
Vărădia de Mureş,46.01667,22.15
Vărădia,45.07833,21.54694
Var,47.23519,23.3003
Var,45.44837,22.30513
Vaoturi,47.65,24.66667
Vanvucești,46.47973,22.72206
Vameșu,45.40126,27.80138
Vameş-Odriheiu,46.4,24.56667
Vameș,45.53408,27.70728
Vămei,47.43333,26.58333
Vama Veche,43.75,28.56667
Vama Seacă,46.34647,23.94196
Vama Marga,45.52252,22.51556
Vama Fişer,47.4,26.73333
Vama Buzăului,45.59668,25.99359
Vama,47.4,26.73333
Vama,47.83333,23.4
Vama,47.56667,25.68333
Vama,47.11599,27.24336
Văluţa de Jos,44.63333,23.68333
Văluța,44.65312,23.69409
Vălureni,46.50028,24.54165
Valu lui Traian,44.16667,28.46667
Valter Mărăcineanu,44.23704,25.86575
Văliug,45.23333,22.03333
Vălișoara,47.37897,23.4028
Vălișoara,46.66579,23.49546
Vălișoara,46.38736,23.56441
Vălișoara,46.05858,22.99607
Vălişoara,46.05,22.85
Vălișoara,45.3179,22.28805
Vălioara,45.61607,22.79313
Văleni-Stânişoara,47.38333,26.0
Văleni-Podgoria,44.85755,24.9893
Vălenii Șomcutei,47.47291,23.45138
Vălenii Lăpușului,47.40573,23.78592
Vălenii de Sus,44.7,23.4
Vălenii de Mureș,46.89274,24.79793
Vălenii de Munte,45.18333,26.03333
Vălenii de Arieş,46.5,23.66667
Vălenii,46.89409,27.28486
Vălenii,46.44584,24.648
Văleni-Dâmbovița,45.16667,25.18333
Văleni,46.90291,26.38945
Văleni,44.73333,25.98333
Văleni,47.78559,24.01625
Văleni,47.2291,23.44689
Văleni,47.03104,26.68846
Văleni,46.78406,23.90433
Văleni,46.78153,23.03426
Văleni,46.74733,27.7596
Văleni,46.6934,27.07769
Văleni,46.66276,24.27124
Văleni,46.46612,27.07758
Văleni,46.43341,27.28289
